Module,Chapter,Subtopic,Project
"Module 5: Capstone and Job Readiness","Chapter 5.2: Professional Skills and Networking","Interview Skills: Technical and behavioral questions","Finance Resume and Trend Analysis: Create a resume tailored to investment banking or economic roles. Use the X API to collect posts on finance industry trends. Perform topic modeling with Python’s gensim to identify key trends. Deliverable: Resume, Python script, 1-page trend report."
"Module 5: Capstone and Job Readiness","Chapter 5.2: Professional Skills and Networking","Networking: LinkedIn, industry events","Finance Resume and Trend Analysis: Create a resume tailored to investment banking or economic roles. Use the X API to collect posts on finance industry trends. Perform topic modeling with Python’s gensim to identify key trends. Deliverable: Resume, Python script, 1-page trend report."
"Module 5: Capstone and Job Readiness","Chapter 5.2: Professional Skills and Networking","Investment banking interview prep (Investment Banking)","Conduct a mock banking interview."
"Module 5: Capstone and Job Readiness","Chapter 5.2: Professional Skills and Networking","Sustainable finance networking (Sustainability)","Create a resume for ESG roles."
"Investment Banking Path: Private Equity and Advanced Deal Structuring","Chapter 6.1: Private Equity and Advanced Deal Structuring","Private Equity: Fund structures, carried interest","Private Equity Investment Model: Model a private equity deal with debt and equity components. Use Python to predict IRR using machine learning. Deliverable: Excel model, Python script, 2-page investment memo."
"Investment Banking Path: Private Equity and Advanced Deal Structuring","Chapter 6.1: Private Equity and Advanced Deal Structuring","Venture Capital: Early-stage investing, term sheets","Private Equity Investment Model: Model a private equity deal with debt and equity components. Use Python to predict IRR using machine learning. Deliverable: Excel model, Python script, 2-page investment memo."
"Investment Banking Path: Private Equity and Advanced Deal Structuring","Chapter 6.1: Private Equity and Advanced Deal Structuring","Advanced Deal Structuring: Earnouts, contingent payments","Private Equity Investment Model: Model a private equity deal with debt and equity components. Use Python to predict IRR using machine learning. Deliverable: Excel model, Python script, 2-page investment memo."
"Sustainability Path: Advanced Sustainable Finance","Chapter 6.2: Advanced Sustainable Finance","Climate Risk Modeling: Scenario analysis, stress testing","Climate Risk Model: Use MSCI ESG data to assess climate risks for a portfolio. Perform scenario analysis in Python for climate impacts. Deliverable: Python script, visualizations, 2-page report."
"Sustainability Path: Advanced Sustainable Finance","Chapter 6.2: Advanced Sustainable Finance","Sustainable Portfolio Management: ESG integration","Climate Risk Model: Use MSCI ESG data to assess climate risks for a portfolio. Perform scenario analysis in Python for climate impacts. Deliverable: Python script, visualizations, 2-page report."
"Sustainability Path: Advanced Sustainable Finance","Chapter 6.2: Advanced Sustainable Finance","Carbon Markets: Trading, pricing","Climate Risk Model: Use MSCI ESG data to assess climate risks for a portfolio. Perform scenario analysis in Python for climate impacts. Deliverable: Python script, visualizations, 2-page report."
